pi_co2, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
20.000000,3.000000,70.000000,1.000000,400.000000,0.015230,0.996975,15.837489,19076.426079,212.796346
30.000000,3.000000,70.000000,1.000000,400.000000,0.018750,0.996861,15.837489,21685.830051,261.992748
40.000000,3.000000,70.000000,1.000000,400.000000,0.024268,0.996861,15.837489,24494.393271,339.111431
50.000000,3.000000,70.000000,1.000000,400.000000,0.055803,0.994416,15.837489,29877.811553,779.884597
60.000000,3.000000,70.000000,1.000000,400.000000,0.110169,0.994463,15.837489,43471.826669,1539.769557
70.000000,3.000000,70.000000,1.000000,400.000000,0.132525,0.992865,15.837489,61997.731760,1852.233189
80.000000,3.000000,70.000000,1.000000,400.000000,0.142799,0.990877,15.837489,81205.417154,1995.833496
90.000000,3.000000,70.000000,1.000000,400.000000,0.153929,0.991305,15.837489,101476.480041,2151.400496
100.000000,3.000000,70.000000,1.000000,400.000000,0.197213,0.989545,15.837489,125733.466787,2756.383272
110.000000,3.000000,70.000000,1.000000,400.000000,0.234313,0.982002,15.837489,155824.728314,3274.939937
120.000000,3.000000,70.000000,1.000000,400.000000,0.284209,0.971861,15.837489,192480.744020,3972.332171
130.000000,3.000000,70.000000,1.000000,400.000000,0.329775,0.967285,15.837489,235667.471624,4609.226127
140.000000,3.000000,70.000000,1.000000,400.000000,0.368588,0.963489,15.837489,284584.126664,5151.716177
150.000000,3.000000,70.000000,1.000000,400.000000,0.395272,0.961377,15.837489,337967.126958,5524.678086
160.000000,3.000000,70.000000,1.000000,400.000000,0.406826,0.959266,15.837489,394328.599064,5686.162439
170.000000,3.000000,70.000000,1.000000,400.000000,0.414103,0.958543,15.837489,451938.505088,5787.879323
180.000000,3.000000,70.000000,1.000000,400.000000,0.419192,0.954186,15.837489,510358.650870,5859.014661
190.000000,3.000000,70.000000,1.000000,400.000000,0.423088,0.951941,15.837489,569262.690687,5913.419604
200.000000,3.000000,70.000000,1.000000,400.000000,0.425756,0.951246,15.837489,628658.238558,5950.759302
210.000000,3.000000,70.000000,1.000000,400.000000,0.428372,0.947451,15.837489,688511.952138,5987.324195
220.000000,3.000000,70.000000,1.000000,400.000000,0.429937,0.945748,15.837489,748592.920392,6009.153143
230.000000,3.000000,70.000000,1.000000,400.000000,0.430698,0.944958,15.837489,808640.944281,6019.790202
240.000000,3.000000,70.000000,1.000000,400.000000,0.431797,0.943874,15.837489,868735.238947,6035.190964
250.000000,3.000000,70.000000,1.000000,400.000000,0.433176,0.942275,15.837489,929529.274655,6054.470635
260.000000,3.000000,70.000000,1.000000,400.000000,0.435222,0.941220,15.837489,989892.469416,6083.057733
270.000000,3.000000,70.000000,1.000000,400.000000,0.436782,0.940497,15.837489,1050844.601381,6104.703368
280.000000,3.000000,70.000000,1.000000,400.000000,0.438875,0.940145,15.837489,1111921.061703,6133.955282
290.000000,3.000000,70.000000,1.000000,400.000000,0.441115,0.938099,15.837489,1173228.937755,6165.384959
300.000000,3.000000,70.000000,1.000000,400.000000,0.443065,0.936377,15.837489,1234967.186233,6192.642424
310.000000,3.000000,70.000000,1.000000,400.000000,0.443916,0.934979,15.837489,1297066.926485,6204.425803
320.000000,3.000000,70.000000,1.000000,400.000000,0.445391,0.933990,15.837489,1359445.014121,6225.035107
330.000000,3.000000,70.000000,1.000000,400.000000,0.446009,0.933685,15.837489,1421646.206103,6233.677718
340.000000,3.000000,70.000000,1.000000,400.000000,0.448102,0.933314,15.837489,1484144.764176,6262.929632
350.000000,3.000000,70.000000,1.000000,400.000000,0.449101,0.931412,15.837489,1546679.517296,6276.890773
360.000000,3.000000,70.000000,1.000000,400.000000,0.449339,0.930641,15.837489,1609542.712565,6280.214854
370.000000,3.000000,70.000000,1.000000,400.000000,0.450480,0.929718,15.837489,1672300.222455,6296.170444
380.000000,3.000000,70.000000,1.000000,400.000000,0.450999,0.929347,15.837489,1735114.091833,6303.177900
390.000000,3.000000,70.000000,1.000000,400.000000,0.451237,0.929167,15.837489,1798057.733582,6306.501982
400.000000,3.000000,70.000000,1.000000,400.000000,0.451570,0.928567,15.837489,1860930.512918,6311.155695
410.000000,3.000000,70.000000,1.000000,400.000000,0.451998,0.928739,15.837489,1924047.809780,6317.139041
420.000000,3.000000,70.000000,1.000000,400.000000,0.452521,0.927397,15.837489,1987235.642474,6324.452020
430.000000,3.000000,70.000000,1.000000,400.000000,0.452616,0.926256,15.837489,2050404.026275,6325.781653
440.000000,3.000000,70.000000,1.000000,400.000000,0.453092,0.925618,15.837489,2113713.708783,6332.429815
450.000000,3.000000,70.000000,1.000000,400.000000,0.453472,0.924201,15.837489,2176852.532153,6337.748345
460.000000,3.000000,70.000000,1.000000,400.000000,0.454005,0.923754,15.837489,2240007.366021,6345.550159
470.000000,3.000000,70.000000,1.000000,400.000000,0.454243,0.923174,15.837489,2303390.765764,6348.874240
480.000000,3.000000,70.000000,1.000000,400.000000,0.454328,0.921861,15.837489,2366614.842016,6349.715037
490.000000,3.000000,70.000000,1.000000,400.000000,0.454428,0.922498,15.837489,2430362.321913,6351.350192
500.000000,3.000000,70.000000,1.000000,400.000000,0.454576,0.921870,15.837489,2493592.359880,6353.527954
