pi_co2, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
20.000000,3.000000,70.000000,1.000000,400.000000,0.000057,0.998992,15.837489,35.660081,0.728832
30.000000,3.000000,70.000000,1.000000,400.000000,0.000100,0.998992,15.837489,40.064284,1.319941
40.000000,3.000000,70.000000,1.000000,400.000000,0.000100,0.998992,15.837489,53.470529,1.319941
50.000000,3.000000,70.000000,1.000000,400.000000,0.005908,0.998012,15.837489,484.055685,82.492364
60.000000,3.000000,70.000000,1.000000,400.000000,0.047622,0.991153,15.837489,2512.146475,665.536204
70.000000,3.000000,70.000000,1.000000,400.000000,0.086525,0.970624,15.837489,13059.432008,1209.289894
80.000000,3.000000,70.000000,1.000000,400.000000,0.111401,0.963375,15.837489,26357.850358,1556.988786
90.000000,3.000000,70.000000,1.000000,400.000000,0.173373,0.940791,15.837489,46089.841212,2423.134356
100.000000,3.000000,70.000000,1.000000,400.000000,0.238114,0.924619,15.837489,74723.243086,3328.059244
110.000000,3.000000,70.000000,1.000000,400.000000,0.298901,0.910141,15.837489,112141.625965,4177.694396
120.000000,3.000000,70.000000,1.000000,400.000000,0.340853,0.898373,15.837489,156323.934063,4764.062317
130.000000,3.000000,70.000000,1.000000,400.000000,0.383752,0.892627,15.837489,206869.777363,5363.616576
140.000000,3.000000,70.000000,1.000000,400.000000,0.399634,0.887167,15.837489,261712.515701,5585.481886
150.000000,3.000000,70.000000,1.000000,400.000000,0.406626,0.880527,15.837489,318074.251385,5683.209873
160.000000,3.000000,70.000000,1.000000,400.000000,0.410193,0.876931,15.837489,375159.029125,5733.071091
170.000000,3.000000,70.000000,1.000000,400.000000,0.412091,0.875970,15.837489,432398.676905,5759.358218
180.000000,3.000000,70.000000,1.000000,400.000000,0.414041,0.873592,15.837489,490080.155791,5786.615684
190.000000,3.000000,70.000000,1.000000,400.000000,0.415520,0.871594,15.837489,548228.748243,5807.530509
200.000000,3.000000,70.000000,1.000000,400.000000,0.416377,0.868874,15.837489,606199.285050,5819.497202
210.000000,3.000000,70.000000,1.000000,400.000000,0.416995,0.869682,15.837489,664511.233583,5828.139813
220.000000,3.000000,70.000000,1.000000,400.000000,0.417613,0.870015,15.837489,722882.435369,5836.782424
230.000000,3.000000,70.000000,1.000000,400.000000,0.418232,0.869825,15.837489,781245.960851,5845.425035
240.000000,3.000000,70.000000,1.000000,400.000000,0.418755,0.869911,15.837489,839803.985671,5852.738013
250.000000,3.000000,70.000000,1.000000,400.000000,0.419183,0.868274,15.837489,898655.279879,5858.721360
260.000000,3.000000,70.000000,1.000000,400.000000,0.419468,0.869140,15.837489,957207.301397,5862.710257
270.000000,3.000000,70.000000,1.000000,400.000000,0.420034,0.867456,15.837489,1016097.312639,5870.382530
280.000000,3.000000,70.000000,1.000000,400.000000,0.420415,0.865944,15.837489,1074884.507128,5875.701060
290.000000,3.000000,70.000000,1.000000,400.000000,0.420700,0.866048,15.837489,1133567.968193,5879.689957
300.000000,3.000000,70.000000,1.000000,400.000000,0.421033,0.865297,15.837489,1192476.578202,5884.343671
310.000000,3.000000,70.000000,1.000000,400.000000,0.421318,0.865316,15.837489,1251554.010981,5888.332568
320.000000,3.000000,70.000000,1.000000,400.000000,0.421509,0.865240,15.837489,1310479.949893,5890.991833
330.000000,3.000000,70.000000,1.000000,400.000000,0.421651,0.864992,15.837489,1369360.898257,5892.986282
340.000000,3.000000,70.000000,1.000000,400.000000,0.421937,0.864545,15.837489,1428444.961560,5896.975179
350.000000,3.000000,70.000000,1.000000,400.000000,0.422222,0.863851,15.837489,1487531.230568,5900.964077
360.000000,3.000000,70.000000,1.000000,400.000000,0.422175,0.864717,15.837489,1546527.469923,5900.299260
370.000000,3.000000,70.000000,1.000000,400.000000,0.422508,0.864659,15.837489,1605493.303863,5904.952974
380.000000,3.000000,70.000000,1.000000,400.000000,0.422793,0.865126,15.837489,1664705.339200,5908.941871
390.000000,3.000000,70.000000,1.000000,400.000000,0.423031,0.864317,15.837489,1723786.459055,5912.265953
400.000000,3.000000,70.000000,1.000000,400.000000,0.423031,0.864507,15.837489,1782854.310810,5912.265953
410.000000,3.000000,70.000000,1.000000,400.000000,0.422988,0.865649,15.837489,1841975.881560,5911.906659
420.000000,3.000000,70.000000,1.000000,400.000000,0.423083,0.864764,15.837489,1901142.753096,5913.236291
430.000000,3.000000,70.000000,1.000000,400.000000,0.423226,0.863975,15.837489,1960192.062825,5915.230740
440.000000,3.000000,70.000000,1.000000,400.000000,0.423321,0.863946,15.837489,2019322.193993,5916.560372
450.000000,3.000000,70.000000,1.000000,400.000000,0.423369,0.863128,15.837489,2078461.700390,5917.225189
460.000000,3.000000,70.000000,1.000000,400.000000,0.423464,0.862291,15.837489,2137483.107009,5918.554821
470.000000,3.000000,70.000000,1.000000,400.000000,0.423559,0.861634,15.837489,2197010.870002,5919.884453
480.000000,3.000000,70.000000,1.000000,400.000000,0.423701,0.861634,15.837489,2256170.914285,5921.878902
490.000000,3.000000,70.000000,1.000000,400.000000,0.423606,0.861634,15.837489,2315307.615023,5920.549270
500.000000,3.000000,70.000000,1.000000,400.000000,0.423797,0.861577,15.837489,2374509.572908,5923.208535
