pi_co2, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
20.000000,3.000000,10.000000,1.000000,400.000000,0.000057,0.998992,15.237489,35.051536,0.728832
20.000000,3.000000,15.000000,1.000000,400.000000,0.000057,0.998992,15.287489,35.660081,0.728832
20.000000,3.000000,20.000000,1.000000,400.000000,0.000057,0.998992,15.337489,35.660081,0.728832
20.000000,3.000000,25.000000,1.000000,400.000000,0.000057,0.998992,15.387489,35.660081,0.728832
20.000000,3.000000,30.000000,1.000000,400.000000,0.000057,0.998992,15.437489,35.643106,0.728832
20.000000,3.000000,35.000000,1.000000,400.000000,0.000057,0.998992,15.487489,35.660081,0.728832
20.000000,3.000000,40.000000,1.000000,400.000000,0.000057,0.998992,15.537489,35.660081,0.728832
20.000000,3.000000,45.000000,1.000000,400.000000,0.000057,0.998992,15.587489,35.660081,0.728832
20.000000,3.000000,50.000000,1.000000,400.000000,0.000057,0.998992,15.637489,35.660081,0.728832
20.000000,3.000000,55.000000,1.000000,400.000000,0.000057,0.998992,15.687489,35.660081,0.728832
20.000000,3.000000,60.000000,1.000000,400.000000,0.000057,0.998992,15.737489,35.660081,0.728832
20.000000,3.000000,65.000000,1.000000,400.000000,0.000057,0.998992,15.787489,35.660081,0.728832
20.000000,3.000000,70.000000,1.000000,400.000000,0.000057,0.998992,15.837489,35.660081,0.728832
20.000000,3.000000,75.000000,1.000000,400.000000,0.000057,0.998992,15.887489,35.660081,0.728832
20.000000,3.000000,80.000000,1.000000,400.000000,0.000057,0.998992,15.937489,35.660081,0.728832
20.000000,3.000000,85.000000,1.000000,400.000000,0.000057,0.998992,15.987489,35.660081,0.728832
20.000000,3.000000,90.000000,1.000000,400.000000,0.000057,0.998992,16.037489,35.660081,0.728832
20.000000,3.000000,95.000000,1.000000,400.000000,0.000057,0.998992,16.087489,35.660081,0.728832
20.000000,3.000000,100.000000,1.000000,400.000000,0.000057,0.998992,16.137489,35.660081,0.728832
40.000000,3.000000,10.000000,1.000000,400.000000,0.000195,0.998221,15.237489,55.239360,2.648424
40.000000,3.000000,15.000000,1.000000,400.000000,0.000385,0.998078,15.287489,52.153846,5.307687
40.000000,3.000000,20.000000,1.000000,400.000000,0.000818,0.997165,15.337489,54.724469,11.357026
40.000000,3.000000,25.000000,1.000000,400.000000,0.000100,0.998992,15.387489,53.470529,1.319941
40.000000,3.000000,30.000000,1.000000,400.000000,0.000100,0.998992,15.437489,53.470529,1.319941
40.000000,3.000000,35.000000,1.000000,400.000000,0.000100,0.998992,15.487489,53.470529,1.319941
40.000000,3.000000,40.000000,1.000000,400.000000,0.000342,0.998992,15.537489,52.545255,4.708864
40.000000,3.000000,45.000000,1.000000,400.000000,0.000100,0.998992,15.587489,53.470529,1.319941
40.000000,3.000000,50.000000,1.000000,400.000000,0.000100,0.998992,15.637489,53.470529,1.319941
40.000000,3.000000,55.000000,1.000000,400.000000,0.000200,0.998992,15.687489,47.056341,2.714415
40.000000,3.000000,60.000000,1.000000,400.000000,0.000200,0.998992,15.737489,47.056341,2.714415
40.000000,3.000000,65.000000,1.000000,400.000000,0.000200,0.998992,15.787489,47.056341,2.714415
40.000000,3.000000,70.000000,1.000000,400.000000,0.000100,0.998992,15.837489,53.470529,1.319941
40.000000,3.000000,75.000000,1.000000,400.000000,0.000100,0.998992,15.887489,53.470529,1.319941
40.000000,3.000000,80.000000,1.000000,400.000000,0.000342,0.998992,15.937489,52.545255,4.708864
40.000000,3.000000,85.000000,1.000000,400.000000,0.000200,0.998992,15.987489,47.056341,2.714415
40.000000,3.000000,90.000000,1.000000,400.000000,0.000342,0.998992,16.037489,52.545255,4.708864
40.000000,3.000000,95.000000,1.000000,400.000000,0.000342,0.998992,16.087489,52.545255,4.708864
40.000000,3.000000,100.000000,1.000000,400.000000,0.000200,0.998992,16.137489,47.056341,2.714415
60.000000,3.000000,10.000000,1.000000,400.000000,0.023121,0.944482,15.237489,1108.773350,323.089849
60.000000,3.000000,15.000000,1.000000,400.000000,0.026360,0.951541,15.287489,1484.759132,368.363346
60.000000,3.000000,20.000000,1.000000,400.000000,0.027450,0.957382,15.337489,1702.769503,383.588126
60.000000,3.000000,25.000000,1.000000,400.000000,0.031540,0.965849,15.387489,1865.656444,440.762323
60.000000,3.000000,30.000000,1.000000,400.000000,0.034299,0.974867,15.437489,1991.284742,479.321665
60.000000,3.000000,35.000000,1.000000,400.000000,0.037158,0.973116,15.487489,2072.294673,519.276632
60.000000,3.000000,40.000000,1.000000,400.000000,0.037486,0.981697,15.537489,2203.470796,523.864353
60.000000,3.000000,45.000000,1.000000,400.000000,0.040292,0.983857,15.587489,2306.371111,563.088511
60.000000,3.000000,50.000000,1.000000,400.000000,0.042818,0.984770,15.637489,2337.577624,598.389764
60.000000,3.000000,55.000000,1.000000,400.000000,0.045377,0.985968,15.687489,2424.705762,634.113860
60.000000,3.000000,60.000000,1.000000,400.000000,0.045477,0.987690,15.737489,2461.588866,635.553481
60.000000,3.000000,65.000000,1.000000,400.000000,0.046143,0.989326,15.787489,2474.343866,644.860908
60.000000,3.000000,70.000000,1.000000,400.000000,0.047622,0.991153,15.837489,2512.146475,665.536204
60.000000,3.000000,75.000000,1.000000,400.000000,0.047760,0.991885,15.887489,2556.788256,667.464660
60.000000,3.000000,80.000000,1.000000,400.000000,0.049995,0.991334,15.937489,2538.458785,698.711023
60.000000,3.000000,85.000000,1.000000,400.000000,0.049239,0.991733,15.987489,2545.995400,688.139956
60.000000,3.000000,90.000000,1.000000,400.000000,0.049191,0.992361,16.037489,2587.799837,687.475140
60.000000,3.000000,95.000000,1.000000,400.000000,0.051850,0.993950,16.087489,2587.815700,724.638856
60.000000,3.000000,100.000000,1.000000,400.000000,0.050618,0.993493,16.137489,2624.336144,707.419627
80.000000,3.000000,10.000000,1.000000,400.000000,0.068355,0.868683,15.237489,16048.019526,955.330091
80.000000,3.000000,15.000000,1.000000,400.000000,0.074344,0.884161,15.287489,17849.803373,1038.986949
80.000000,3.000000,20.000000,1.000000,400.000000,0.081050,0.895234,15.337489,19504.526325,1132.726038
80.000000,3.000000,25.000000,1.000000,400.000000,0.088808,0.905546,15.387489,20918.136434,1241.201073
80.000000,3.000000,30.000000,1.000000,400.000000,0.091377,0.920729,15.437489,22045.443937,1277.101150
80.000000,3.000000,35.000000,1.000000,400.000000,0.094421,0.930413,15.487489,23025.525936,1319.649389
80.000000,3.000000,40.000000,1.000000,400.000000,0.098083,0.937529,15.537489,23845.468624,1370.840240
80.000000,3.000000,45.000000,1.000000,400.000000,0.100699,0.942713,15.587489,24475.648701,1407.405133
80.000000,3.000000,50.000000,1.000000,400.000000,0.104219,0.947013,15.637489,24979.593994,1456.601534
80.000000,3.000000,55.000000,1.000000,400.000000,0.106312,0.951427,15.687489,25404.437501,1485.853449
80.000000,3.000000,60.000000,1.000000,400.000000,0.108928,0.955346,15.737489,25800.862728,1522.418342
80.000000,3.000000,65.000000,1.000000,400.000000,0.109736,0.959094,15.787489,26125.509606,1533.720218
80.000000,3.000000,70.000000,1.000000,400.000000,0.111401,0.963375,15.837489,26357.850358,1556.988786
80.000000,3.000000,75.000000,1.000000,400.000000,0.113018,0.960949,15.887489,26606.603558,1579.592538
80.000000,3.000000,80.000000,1.000000,400.000000,0.113732,0.963870,15.937489,26783.790412,1589.564782
80.000000,3.000000,85.000000,1.000000,400.000000,0.114493,0.970453,15.987489,26987.349679,1600.201842
80.000000,3.000000,90.000000,1.000000,400.000000,0.114826,0.966800,16.037489,27121.733894,1604.855555
80.000000,3.000000,95.000000,1.000000,400.000000,0.116110,0.968255,16.087489,27291.582835,1622.805594
80.000000,3.000000,100.000000,1.000000,400.000000,0.116681,0.972251,16.137489,27454.306407,1630.783389
100.000000,3.000000,10.000000,1.000000,400.000000,0.133566,0.727217,15.237489,45067.201887,1866.793153
100.000000,3.000000,15.000000,1.000000,400.000000,0.150823,0.764507,15.287489,49890.483568,2107.828146
100.000000,3.000000,20.000000,1.000000,400.000000,0.164146,0.801046,15.337489,54286.840417,2294.160006
100.000000,3.000000,25.000000,1.000000,400.000000,0.180318,0.820034,15.387489,58344.345329,2520.197527
100.000000,3.000000,30.000000,1.000000,400.000000,0.192218,0.842618,15.437489,61910.619446,2686.577567
100.000000,3.000000,35.000000,1.000000,400.000000,0.203106,0.865192,15.487489,64885.306188,2838.754493
100.000000,3.000000,40.000000,1.000000,400.000000,0.212952,0.881288,15.537489,67311.199504,2976.371454
100.000000,3.000000,45.000000,1.000000,400.000000,0.219083,0.892504,15.587489,69318.684464,3062.022761
100.000000,3.000000,50.000000,1.000000,400.000000,0.226408,0.899467,15.637489,70952.202421,3164.404461
100.000000,3.000000,55.000000,1.000000,400.000000,0.230308,0.908219,15.687489,72254.846397,3218.919393
100.000000,3.000000,60.000000,1.000000,400.000000,0.235017,0.915430,15.737489,73217.045695,3284.736200
100.000000,3.000000,65.000000,1.000000,400.000000,0.236544,0.919892,15.787489,74045.012658,3306.120308
100.000000,3.000000,70.000000,1.000000,400.000000,0.238114,0.924619,15.837489,74723.243086,3328.059244
100.000000,3.000000,75.000000,1.000000,400.000000,0.239774,0.926370,15.887489,75185.667317,3351.217824
100.000000,3.000000,80.000000,1.000000,400.000000,0.240249,0.927492,15.937489,75548.024268,3357.865986
100.000000,3.000000,85.000000,1.000000,400.000000,0.240587,0.932021,15.987489,75922.977178,3362.629688
100.000000,3.000000,90.000000,1.000000,400.000000,0.241438,0.931279,16.037489,76208.607880,3374.486392
100.000000,3.000000,95.000000,1.000000,400.000000,0.242352,0.932182,16.087489,76446.917204,3387.293882
100.000000,3.000000,100.000000,1.000000,400.000000,0.243674,0.932953,16.137489,76770.091147,3405.732755
120.000000,3.000000,10.000000,1.000000,400.000000,0.174800,0.609484,15.237489,88452.903361,2443.078843
120.000000,3.000000,15.000000,1.000000,400.000000,0.197912,0.653615,15.287489,98152.897801,2765.996221
120.000000,3.000000,20.000000,1.000000,400.000000,0.217799,0.692903,15.337489,107240.507652,3044.072722
120.000000,3.000000,25.000000,1.000000,400.000000,0.239255,0.731802,15.387489,116323.021783,3344.014833
120.000000,3.000000,30.000000,1.000000,400.000000,0.255850,0.767275,15.437489,124367.737747,3575.925712
120.000000,3.000000,35.000000,1.000000,400.000000,0.274929,0.795167,15.487489,131486.048010,3842.627012
120.000000,3.000000,40.000000,1.000000,400.000000,0.289721,0.824534,15.537489,137763.482129,4049.384862
120.000000,3.000000,45.000000,1.000000,400.000000,0.302659,0.850029,15.587489,143145.362760,4230.214878
120.000000,3.000000,50.000000,1.000000,400.000000,0.315882,0.866324,15.637489,147536.786396,4415.033792
120.000000,3.000000,55.000000,1.000000,400.000000,0.325680,0.880137,15.687489,151068.514922,4551.985937
120.000000,3.000000,60.000000,1.000000,400.000000,0.335241,0.889393,15.737489,153621.438866,4685.614001
120.000000,3.000000,65.000000,1.000000,400.000000,0.338665,0.895396,15.787489,155289.985448,4733.480770
120.000000,3.000000,70.000000,1.000000,400.000000,0.340853,0.898373,15.837489,156323.934063,4764.062317
120.000000,3.000000,75.000000,1.000000,400.000000,0.342185,0.901275,15.887489,157139.845979,4782.677172
120.000000,3.000000,80.000000,1.000000,400.000000,0.342846,0.903396,15.937489,157754.872956,4791.874611
120.000000,3.000000,85.000000,1.000000,400.000000,0.344278,0.905984,15.987489,158243.427095,4811.929086
120.000000,3.000000,90.000000,1.000000,400.000000,0.345182,0.907306,16.037489,158666.783465,4824.560595
120.000000,3.000000,95.000000,1.000000,400.000000,0.345367,0.909561,16.087489,159128.649064,4827.109872
120.000000,3.000000,100.000000,1.000000,400.000000,0.346561,0.909637,16.137489,159558.431527,4843.840266
140.000000,3.000000,10.000000,1.000000,400.000000,0.224030,0.541771,15.237489,144272.490295,3131.163649
140.000000,3.000000,15.000000,1.000000,400.000000,0.245429,0.591543,15.287489,159084.330327,3430.147643
140.000000,3.000000,20.000000,1.000000,400.000000,0.268598,0.631050,15.337489,173784.666891,3754.096464
140.000000,3.000000,25.000000,1.000000,400.000000,0.287666,0.674353,15.387489,188242.141442,4020.504462
140.000000,3.000000,30.000000,1.000000,400.000000,0.306597,0.710369,15.437489,201522.029211,4285.101325
140.000000,3.000000,35.000000,1.000000,400.000000,0.326341,0.745225,15.487489,214723.121744,4561.183377
140.000000,3.000000,40.000000,1.000000,400.000000,0.341748,0.778330,15.537489,225824.059727,4776.400524
140.000000,3.000000,45.000000,1.000000,400.000000,0.357967,0.810959,15.587489,235892.289981,5003.102862
140.000000,3.000000,50.000000,1.000000,400.000000,0.373335,0.837319,15.637489,245072.642046,5218.021820
140.000000,3.000000,55.000000,1.000000,400.000000,0.386844,0.859161,15.687489,252496.092050,5406.829631
140.000000,3.000000,60.000000,1.000000,400.000000,0.393498,0.874534,15.737489,257236.957183,5499.720591
140.000000,3.000000,65.000000,1.000000,400.000000,0.397498,0.884209,15.787489,260056.532610,5555.748468
140.000000,3.000000,70.000000,1.000000,400.000000,0.399634,0.887167,15.837489,261712.515701,5585.481886
140.000000,3.000000,75.000000,1.000000,400.000000,0.401256,0.890249,15.887489,262781.684992,5608.268951
140.000000,3.000000,80.000000,1.000000,400.000000,0.402017,0.890249,15.937489,263650.631908,5618.906011
140.000000,3.000000,85.000000,1.000000,400.000000,0.403301,0.891962,15.987489,264450.848097,5636.856049
140.000000,3.000000,90.000000,1.000000,400.000000,0.404200,0.893522,16.037489,265183.508262,5649.304245
