X_hat, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
1.000000,0.200000,5.000000,1.000000,400.000000,0.042518,0.222146,11.133370,60795.562355,594.041573
1.000000,0.200000,10.000000,1.000000,400.000000,0.041048,0.311121,11.183370,62073.234617,573.615583
1.000000,0.200000,15.000000,1.000000,400.000000,0.040858,0.312500,11.233370,62255.667789,570.956318
1.000000,0.200000,20.000000,1.000000,400.000000,0.040858,0.312500,11.283370,62255.667789,570.956318
1.000000,0.200000,25.000000,1.000000,400.000000,0.040858,0.312500,11.333370,62255.667789,570.956318
1.000000,0.200000,30.000000,1.000000,400.000000,0.040858,0.312500,11.383370,62255.667789,570.956318
1.000000,0.200000,35.000000,1.000000,400.000000,0.040858,0.312500,11.433370,62255.667789,570.956318
1.000000,0.200000,40.000000,1.000000,400.000000,0.040858,0.312500,11.483370,62255.667789,570.956318
1.000000,0.200000,45.000000,1.000000,400.000000,0.040858,0.312500,11.533370,62255.667789,570.956318
1.000000,0.200000,50.000000,1.000000,400.000000,0.040858,0.312500,11.583370,62255.667789,570.956318
1.000000,0.200000,55.000000,1.000000,400.000000,0.040858,0.312500,11.633370,62255.667789,570.956318
1.000000,0.200000,60.000000,1.000000,400.000000,0.040858,0.312500,11.683370,62255.667789,570.956318
1.000000,0.200000,65.000000,1.000000,400.000000,0.040858,0.312500,11.733370,62255.667789,570.956318
1.000000,0.200000,70.000000,1.000000,400.000000,0.040858,0.312500,11.783370,62255.667789,570.956318
1.000000,0.200000,75.000000,1.000000,400.000000,0.040858,0.312500,11.833370,62255.667789,570.956318
1.000000,0.200000,80.000000,1.000000,400.000000,0.040858,0.312500,11.883370,62255.667789,570.956318
1.000000,0.200000,85.000000,1.000000,400.000000,0.040858,0.312500,11.933370,62255.667789,570.956318
1.000000,0.200000,90.000000,1.000000,400.000000,0.040858,0.312500,11.983370,62255.667789,570.956318
1.000000,0.200000,95.000000,1.000000,400.000000,0.040858,0.312500,12.033370,62255.667789,570.956318
1.000000,0.200000,100.000000,1.000000,400.000000,0.040858,0.312500,12.083370,62255.667789,570.956318
1.000000,0.400000,5.000000,1.000000,400.000000,0.086558,0.226332,11.541729,120625.460026,1209.355887
1.000000,0.400000,10.000000,1.000000,400.000000,0.086282,0.282582,11.591729,123240.586299,1205.855825
1.000000,0.400000,15.000000,1.000000,400.000000,0.085141,0.323649,11.641729,124686.281747,1189.900235
1.000000,0.400000,20.000000,1.000000,400.000000,0.084380,0.342523,11.691729,125378.034986,1179.263175
1.000000,0.400000,25.000000,1.000000,400.000000,0.084380,0.343265,11.741729,125408.103731,1179.263175
1.000000,0.400000,30.000000,1.000000,400.000000,0.084380,0.343265,11.791729,125408.103731,1179.263175
1.000000,0.400000,35.000000,1.000000,400.000000,0.084380,0.343265,11.841729,125408.103731,1179.263175
1.000000,0.400000,40.000000,1.000000,400.000000,0.084380,0.343265,11.891729,125408.103731,1179.263175
1.000000,0.400000,45.000000,1.000000,400.000000,0.084380,0.343265,11.941729,125408.103731,1179.263175
1.000000,0.400000,50.000000,1.000000,400.000000,0.084380,0.343265,11.991729,125408.103731,1179.263175
1.000000,0.400000,55.000000,1.000000,400.000000,0.084380,0.343265,12.041729,125408.103731,1179.263175
1.000000,0.400000,60.000000,1.000000,400.000000,0.084380,0.343265,12.091729,125408.103731,1179.263175
1.000000,0.400000,65.000000,1.000000,400.000000,0.084380,0.343265,12.141729,125408.103731,1179.263175
1.000000,0.400000,70.000000,1.000000,400.000000,0.084380,0.343265,12.191729,125408.103731,1179.263175
1.000000,0.400000,75.000000,1.000000,400.000000,0.084380,0.343265,12.241729,125408.103731,1179.263175
1.000000,0.400000,80.000000,1.000000,400.000000,0.084380,0.343265,12.291729,125408.103731,1179.263175
1.000000,0.400000,85.000000,1.000000,400.000000,0.084380,0.343265,12.341729,125408.103731,1179.263175
1.000000,0.400000,90.000000,1.000000,400.000000,0.084380,0.343265,12.391729,125408.103731,1179.263175
1.000000,0.400000,95.000000,1.000000,400.000000,0.084380,0.343265,12.441729,125408.103731,1179.263175
1.000000,0.400000,100.000000,1.000000,400.000000,0.084380,0.343265,12.491729,125408.103731,1179.263175
1.000000,0.600000,5.000000,1.000000,400.000000,0.129276,0.293075,11.902686,178810.183737,1806.666390
1.000000,0.600000,10.000000,1.000000,400.000000,0.130080,0.327188,11.952686,182099.460504,1817.662744
1.000000,0.600000,15.000000,1.000000,400.000000,0.129271,0.361958,12.002686,184717.196376,1806.360868
1.000000,0.600000,20.000000,1.000000,400.000000,0.128653,0.375875,12.052686,186489.912576,1797.718257
1.000000,0.600000,25.000000,1.000000,400.000000,0.128177,0.382981,12.102686,187322.352765,1791.070095
1.000000,0.600000,30.000000,1.000000,400.000000,0.128035,0.384741,12.152686,187653.105932,1789.075646
1.000000,0.600000,35.000000,1.000000,400.000000,0.128035,0.384513,12.202686,187647.514388,1789.075646
1.000000,0.600000,40.000000,1.000000,400.000000,0.128035,0.384513,12.252686,187647.514388,1789.075646
1.000000,0.600000,45.000000,1.000000,400.000000,0.128035,0.384513,12.302686,187647.514388,1789.075646
1.000000,0.600000,50.000000,1.000000,400.000000,0.128035,0.384513,12.352686,187647.514388,1789.075646
1.000000,0.600000,55.000000,1.000000,400.000000,0.128035,0.384513,12.402686,187647.514388,1789.075646
1.000000,0.600000,60.000000,1.000000,400.000000,0.128035,0.384513,12.452686,187647.514388,1789.075646
1.000000,0.600000,65.000000,1.000000,400.000000,0.128035,0.384513,12.502686,187647.514388,1789.075646
