X_hat, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
1.000000,3.000000,70.000000,1.000000,400.000000,0.416377,0.868874,15.837489,606199.285050,5819.497202
1.000000,3.000000,70.000000,1.200000,400.000000,0.426931,0.888556,16.532107,623153.931018,5966.780884
1.000000,3.000000,70.000000,1.400000,400.000000,0.434061,0.902435,17.199969,633919.799593,6066.503320
1.000000,3.000000,70.000000,1.600000,400.000000,0.438713,0.910654,17.845747,641520.972835,6131.655311
1.000000,3.000000,70.000000,1.800000,400.000000,0.442237,0.917627,18.472820,646908.289207,6180.851713
1.000000,3.000000,70.000000,2.000000,400.000000,0.444868,0.923411,19.083731,651290.514279,6217.722128
1.000000,3.000000,70.000000,2.200000,400.000000,0.446946,0.925504,19.680459,654412.139205,6246.668520
1.000000,3.000000,70.000000,2.400000,400.000000,0.448635,0.928662,20.264583,657312.591805,6270.535912
1.000000,3.000000,70.000000,2.600000,400.000000,0.449753,0.931868,20.837389,659369.913785,6285.892678
1.000000,3.000000,70.000000,2.800000,400.000000,0.451251,0.931650,21.399947,661063.332747,6307.100805
1.000000,3.000000,70.000000,3.000000,400.000000,0.452083,0.933619,21.953152,662588.948060,6318.468674
