X_hat, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
1.000000,3.000000,30.000000,1.000000,310.000000,0.216981,0.462719,15.437489,311899.423868,3032.282011
1.000000,3.000000,30.000000,1.000000,320.000000,0.231302,0.498402,15.437489,331174.046365,3232.697220
1.000000,3.000000,30.000000,1.000000,330.000000,0.244953,0.532373,15.437489,350574.313625,3423.499481
1.000000,3.000000,30.000000,1.000000,340.000000,0.258038,0.557420,15.437489,369621.489569,3606.507259
1.000000,3.000000,30.000000,1.000000,350.000000,0.270924,0.581497,15.437489,388501.807066,3786.489146
1.000000,3.000000,30.000000,1.000000,360.000000,0.282815,0.609846,15.437489,406374.865349,3952.693206
1.000000,3.000000,30.000000,1.000000,370.000000,0.294083,0.630127,15.437489,423558.866320,4109.949132
1.000000,3.000000,30.000000,1.000000,380.000000,0.304457,0.647241,15.437489,440072.047527,4255.184594
1.000000,3.000000,30.000000,1.000000,390.000000,0.314307,0.667228,15.437489,454344.854110,4392.984869
1.000000,3.000000,30.000000,1.000000,400.000000,0.323240,0.684228,15.437489,467550.617545,4517.481486
1.000000,3.000000,30.000000,1.000000,410.000000,0.331478,0.705032,15.437489,480889.133478,4632.983530
1.000000,3.000000,30.000000,1.000000,420.000000,0.339036,0.717808,15.437489,492745.307932,4738.505999
1.000000,3.000000,30.000000,1.000000,430.000000,0.346404,0.731050,15.437489,502852.405443,4841.246994
1.000000,3.000000,30.000000,1.000000,440.000000,0.351826,0.741400,15.437489,510657.345709,4917.036045
1.000000,3.000000,30.000000,1.000000,450.000000,0.357154,0.749686,15.437489,518078.041331,4991.495463
1.000000,3.000000,30.000000,1.000000,460.000000,0.361297,0.761396,15.437489,523857.602917,5049.639998
1.000000,3.000000,30.000000,1.000000,470.000000,0.364769,0.766904,15.437489,528342.418191,5098.171584
1.000000,3.000000,30.000000,1.000000,480.000000,0.366338,0.769254,15.437489,530294.505931,5120.110519
1.000000,3.000000,30.000000,1.000000,490.000000,0.366291,0.774639,15.437489,529609.380522,5119.445703
1.000000,3.000000,30.000000,1.000000,500.000000,0.364579,0.769016,15.437489,526532.718570,5095.512319
1.000000,3.000000,35.000000,1.000000,310.000000,0.219644,0.471689,15.487489,314825.780132,3069.511720
1.000000,3.000000,35.000000,1.000000,320.000000,0.236958,0.511463,15.487489,338731.699117,3311.504830
1.000000,3.000000,35.000000,1.000000,330.000000,0.253044,0.545148,15.487489,361825.353132,3536.701554
1.000000,3.000000,35.000000,1.000000,340.000000,0.268160,0.574933,15.487489,384434.636505,3747.624282
