X_hat, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
0.200000,0.600000,14.000000,1.000000,400.000000,0.416377,0.868874,3.592686,121239.857010,1163.899440
0.400000,1.200000,28.000000,1.000000,400.000000,0.416377,0.868874,6.779567,242479.714020,2327.798881
0.600000,1.800000,42.000000,1.000000,400.000000,0.416377,0.868874,9.856534,363719.571030,3491.698321
0.800000,2.400000,56.000000,1.000000,400.000000,0.416377,0.868874,12.869263,484959.428040,4655.597761
1.000000,3.000000,70.000000,1.000000,400.000000,0.416377,0.868874,15.837489,606199.285050,5819.497202
1.200000,3.600000,84.000000,1.000000,400.000000,0.416377,0.868874,18.772107,727439.142060,6983.396642
1.400000,4.200000,98.000000,1.000000,400.000000,0.416377,0.868874,21.679969,848678.999070,8147.296082
1.600000,4.800000,112.000000,1.000000,400.000000,0.416377,0.868874,24.565747,969918.856080,9311.195522
1.800000,5.400000,126.000000,1.000000,400.000000,0.416377,0.868874,27.432820,1091158.713090,10475.094963
2.000000,6.000000,140.000000,1.000000,400.000000,0.416377,0.868874,30.283731,1212398.570100,11638.994403
2.200000,6.600000,154.000000,1.000000,400.000000,0.416377,0.868874,33.120459,1333638.427110,12802.893843
2.400000,7.200000,168.000000,1.000000,400.000000,0.416377,0.868874,35.944583,1454878.284120,13966.793284
2.600000,7.800000,182.000000,1.000000,400.000000,0.416377,0.868874,38.757389,1576118.141130,15130.692724
2.800000,8.400000,196.000000,1.000000,400.000000,0.416377,0.868874,41.559947,1697357.998140,16294.592164
3.000000,9.000000,210.000000,1.000000,400.000000,0.416377,0.868874,44.353152,1818597.855150,17458.491605
